Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,Preparación,Generar una tabla de conocimientos al final de la ../P02_Proceso%20de%20evaluacio%CC%81n%20y%20capacitacio%CC%81n%20de%20inte%20c81870dcf9a6484d81e1fcad0ee767e6.md,TL,,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,"Se asegura el entendimiento del requisito, se identifican los actores, pre condiciones, post condiciones y requisitos relacionados al mismo. ",,TS 2.1,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,"Generar los wireframes, las pruebas y los diagramas que faciliten el desarrollo de la funcionalidad. 
Se recomienda diseñar:
    - https://www.lucidchart.com/pages/es/tutorial-diagrama-de-actividades-uml
    - https://www.lucidchart.com/pages/es/diagrama-de-interaccion-uml
    - https://www.lucidchart.com/pages/templates/programming-flowchart-example",,TS 2.3,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,Crear una rama nueva en el https://www.notion.so/a447a0788f87415abd4469638bc678fe siguiendo el https://www.notion.so/a447a0788f87415abd4469638bc678fe.,,VER 2.1,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,"Sigue la guía https://www.notion.so/082432fd59c346259eddeb22a2abea34 ",,VER 2.2,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,Todos los defectos detectados deben ser anotados en el https://www.notion.so/a447a0788f87415abd4469638bc678fe y corregidos de inmediato.,,VER 2.3,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,"Al finalizar el desarrollo de la funcionalidad crea un Pull Request https://www.notion.so/b11c58cb1ce14b42950a56f0b4e618cf ",,VER 1.1 VER 1.2 VER 1.3,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,https://www.notion.so/9d3b4ef1e74a4028b85cb2cf1c30b926,,VER 2.2,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,"https://www.notion.so/751be3be67e24134a293e5eadc460539 ",,,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,Crear documentación para el usuario,,TS3.1,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,Crear documentación para el desarrollador,,TS3.1,Paola Adriana Millares Forno
"June 9, 2022 9:36 PM",Paola Adriana Millares Forno,,"Llenar la matriz de trazabilidad con toda la información del requisito https://www.notion.so/2a6094b09f214e6a9515bc73ce626e2c ",Team Leader,RKM1.5,Paola Adriana Millares Forno
